plyr.lbl,player,no.,name,pass_yards,comp,att,pct,avg,pass_td,int,long,rating,week,team,season,pass_yards_cum,comp_cum,att_cum,pass_td_cum,int_cum,game,pass_td_rate_cum,comp_cum_rate,int_rate_cum,pass_yards_att_cum,pass_avg_cum,pass_yards_cum_game,pass_td_int_cum,qb.part1,qb.part2,qb.part3,qb.part4,qb_rate_cum,no..rush,name.rush,rush_yards,carries,avg.rush,long.rush,rush_td,week.rush,rush_yards_cum,carries_cum,rush_td_cum,rush_td_rate_cum,rush_avg_cum,rush_yards_cum_game,rush_yards_car
AC #7,#7 Anna Clark,#7,Anna Clark,148,12,21,57.1,12.3,1,0,30,94.9,3,Waverunners,2018,310,19,35,3,2,3,0.08571428571428572,54,0.05714285714285714,8.857142857142858,16.3,103.3,1.5,1.2142857142857144,1.4642857142857144,1.7142857142857144,0.9464285714285714,89,#7,Anna Clark,14,3,4.7,7,0,5,149,11,1,0.09090909090909091,13.5,49.7,4.7
AC #7,#7 Anna Clark,#7,Anna Clark,185,13,25,52,14.2,0,0,20,76.2,5,Waverunners,2018,495,32,60,3,2,4,0.05,53,0.03333333333333333,8.25,15.5,123.8,1.5,1.1666666666666667,1.3125,1,1.5416666666666665,83.7,#7,Anna Clark,15,2,7.5,7,0,6,164,13,1,0.07692307692307693,12.6,41,7.5
AC #7,#7 Anna Clark,#7,Anna Clark,250,13,25,52,19.2,0,0,NA,87.1,6,Waverunners,2018,745,45,85,3,2,5,0.03529411764705882,53,0.023529411764705882,8.764705882352942,16.6,149,1.5,1.147058823529412,1.4411764705882355,0.7058823529411765,1.7867647058823528,84.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BL #10,#10 Brooke Liebsch,#10,Brooke Liebsch,73,6,18,33.3,12.2,0,0,20,46.8,1,Titans,2018,73,6,18,0,0,1,0,33,0,4.055555555555555,12.2,73,0,0.16666666666666644,0.26388888888888884,0,2.375,46.8,#10,Brooke Liebsch,73,4,18.2,40,1,1,73,4,1,0.25,18.2,73,18.2
BL #10,#10 Brooke Liebsch,#10,Brooke Liebsch,48,4,6,66.7,12,2,1,28,91,2,Titans,2018,121,10,24,2,1,2,0.08333333333333333,42,0.041666666666666664,5.041666666666667,12.1,60.5,2,0.5833333333333336,0.5104166666666667,1.6666666666666665,1.3333333333333335,68.2,#10,Brooke Liebsch,6,1,6,6,0,2,79,5,1,0.2,15.8,39.5,6
BL #10,#10 Brooke Liebsch,#10,Brooke Liebsch,64,8,15,53.3,8,0,0,16,64.3,3,Titans,2018,185,18,39,2,1,3,0.05128205128205128,46,0.02564102564102564,4.743589743589744,10.3,61.7,2,0.8076923076923077,0.4358974358974359,1.0256410256410255,1.733974358974359,66.7,#10,Brooke Liebsch,15,11,1.4,16,0,3,94,16,1,0.0625,5.9,31.3,1.4
BL #10,#10 Brooke Liebsch,#10,Brooke Liebsch,35,1,3,33.3,35,1,0,35,118.1,4,Titans,2018,220,19,42,3,1,4,0.07142857142857142,45,0.023809523809523808,5.238095238095238,11.6,55,3,0.7619047619047621,0.5595238095238095,1.4285714285714286,1.7797619047619047,75.5,#10,Brooke Liebsch,0,1,0,NA,0,5,94,17,1,0.058823529411764705,5.5,23.5,0
BL #10,#10 Brooke Liebsch,#10,Brooke Liebsch,37,4,10,40,9.2,0,0,22,50.8,5,Titans,2018,257,23,52,3,1,5,0.057692307692307696,44,0.019230769230769232,4.9423076923076925,11.2,51.4,3,0.7115384615384613,0.48557692307692313,1.153846153846154,1.8942307692307692,70.8,#10,Brooke Liebsch,26,3,8.7,35,1,7,120,20,2,0.1,6,24,8.7
BL #10,#10 Brooke Liebsch,#10,Brooke Liebsch,37,5,7,71.4,7.4,0,0,18,83.6,7,Titans,2018,294,28,59,3,1,6,0.05084745762711865,47,0.01694915254237288,4.983050847457627,10.5,49,3,0.8728813559322035,0.4957627118644068,1.016949152542373,1.951271186440678,72.3,#10,Brooke Liebsch,0,2,0,3,0,9,120,22,2,0.09090909090909091,5.5,20,0
BL #10,#10 Brooke Liebsch,#10,Brooke Liebsch,197,10,21,47.6,19.7,2,0,81,112.6,9,Titans,2018,491,38,80,5,1,7,0.0625,48,0.0125,6.1375,12.9,70.1,5,0.875,0.784375,1.25,2.0625,82.9,#10,Brooke Liebsch,0,4,0,5,0,10,120,26,2,0.07692307692307693,4.6,17.1,0
